"Story","Title","Result","Date","Stability","Duration (s)"
"Funcionalidad de inicio de sesión","Inicio de sesión exitoso con credenciales válidas","SUCCESS","2025-09-26T08:00:58.3582525-05:00[America/Bogota]","0.0","3.8"
"Funcionalidad de inicio de sesión","Inicio de sesión exitoso con credenciales válidas","SUCCESS","2025-09-26T08:00:58.5212809-05:00[America/Bogota]","0.0","3.87"
"Funcionalidad de inicio de sesión","Fallo en el inicio de sesión con credenciales inválidas","SUCCESS","2025-09-26T08:01:02.2916143-05:00[America/Bogota]","0.0","3.3"
"Funcionalidad de inicio de sesión","Fallo en el inicio de sesión con credenciales inválidas","SUCCESS","2025-09-26T08:01:02.5561592-05:00[America/Bogota]","0.0","3.7"
"Funcionalidad de inicio de sesión","Fallo en el inicio de sesión con credenciales vacías","SUCCESS","2025-09-26T08:01:05.7123708-05:00[America/Bogota]","0.0","2.8"
"Funcionalidad de inicio de sesión","Fallo en el inicio de sesión con credenciales vacías","SUCCESS","2025-09-26T08:01:06.3499685-05:00[America/Bogota]","0.0","2.95"
